date,Open,High,Low,Close,Adj Close,Volume,EPS_diff,UNRATE,AWHMAN,ICSA,ACOGNO,NEWORDER,PERMIT,SP500,T10YFF,USALOLITOAASTSAM,T10Y2Y,UMCSENT,FEDFUNDS,VIXCLS,event_id,day_relative_to_event,SMA_20,SMA_50,RSI,MACD
2020-10-30,83.37200164794922,84.06600189208984,80.07849884033203,80.80549621582031,80.60590362548828,99878000,0.25,7.8,41.2,851750,185169.0,61549.0,1624.0,3365.52,0.59,98.7370469361857,0.54,80.4,0.09,27.65,23,1,53.413275146484374,,77.4699844166712,-2.7954016082059496
2021-02-03,103.28050231933594,105.33100128173828,100.67749786376952,102.94400024414062,102.68972778320312,97882000,0.32000000000000006,6.4,41.6,827800,197804.0,64828.0,1883.0,3793.75,1.00,100.304464890254,0.95,79.0,0.09,24.91,24,1,56.76215019226074,,84.03111349012327,-2.7954016082059496
2021-07-28,136.31199645996094,138.2969970703125,135.27749633789062,136.093994140625,135.75782775878906,95130000,0.3700000000000001,5.9,41.4,410500,210248.0,67907.0,1657.0,4238.49,1.44,101.338379376802,1.32,85.5,0.08,16.96,26,1,61.61457481384277,,89.1339260117255,-2.7954016082059496
2021-10-27,139.40499877929688,148.64999389648438,139.40499877929688,146.21749877929688,145.85633850097656,85782000,0.24,4.7,41.4,354500,216321.0,68790.0,1625.0,4445.54,1.30,101.164667218887,1.13,72.8,0.08,19.82,27,1,67.08102474212646,,90.16726201560517,-2.7954016082059496
2022-02-02,151.25,151.54649353027344,145.5225067138672,148.0,147.63442993164062,123200000,0.19999999999999996,4.0,41.1,236600,230970.0,70690.0,1915.0,4573.82,1.68,100.968472979076,0.78,67.2,0.08,23.18,28,1,72.50267467498779,,90.34142883497076,-2.7954016082059496
2022-04-27,114.46949768066406,117.24199676513672,112.73650360107422,114.29450225830078,114.0121841430664,91820000,-0.06000000000000005,3.6,41.5,213250,248755.0,72013.0,1879.0,4391.27,1.93,100.648489273259,0.22,59.4,0.2,26.97,29,1,76.16849975585937,,66.3933317712,-2.7954016082059496
2022-07-27,109.26000213623048,113.91000366210938,108.01000213623048,113.05999755859376,112.7807388305664,59858500,-0.06000000000000005,3.6,41.0,214500,264445.0,72817.0,1745.0,3898.95,1.96,99.7728562456382,0.15,50.0,1.21,28.23,30,1,79.7089246749878,,65.70631419674189,-2.7954016082059496
2022-10-26,96.43000030517578,98.30999755859376,94.69000244140624,94.93000030517578,94.69551849365234,88114100,-0.18999999999999995,3.5,41.0,197750,254790.0,72699.0,1613.0,3850.52,0.94,99.13701318936528,-0.34,58.6,2.56,27.34,31,1,82.14412460327148,,56.465390326713866,-2.7954016082059496
2023-02-03,102.93000030517578,107.80999755859376,102.58000183105467,104.77999877929688,104.52118682861328,65309300,-0.08999999999999986,3.4,40.9,202750,253601.0,73784.0,1443.0,3960.66,-0.80,98.8415581069491,-0.68,64.9,4.33,20.17,32,1,84.96054954528809,,59.775356802100056,-2.7954016082059496
2023-04-26,104.91999816894533,106.3499984741211,102.62999725341795,103.70999908447266,103.4538345336914,53347600,0.10999999999999988,3.5,40.6,227000,243859.0,73044.0,1493.0,3968.56,-0.99,98.8249659495886,-0.64,62.0,4.65,21.64,33,1,87.5618745803833,,59.24837266755168,-2.7954016082059496
2023-07-26,130.07000732421875,130.97999572753906,128.32000732421875,129.27000427246094,128.95069885253906,61682100,0.11999999999999988,3.6,40.8,253500,241012.0,73737.0,1493.0,4345.37,-1.33,99.0416688695525,-0.89,64.2,5.08,14.00,34,1,91.22737483978271,,66.7820944307046,-2.7954016082059496
2023-10-25,128.16000366210938,128.30999755859375,125.06999969482422,125.61000061035156,125.29973602294922,84366200,0.10000000000000009,3.8,40.7,218800,252902.0,73963.0,1515.0,4409.10,-0.95,99.2831550338027,-0.64,67.8,5.33,15.17,35,1,94.95127487182617,,64.93102733627235,-2.7954016082059496
2024-01-31,143.6199951171875,144.0,139.8699951171875,140.10000610351562,139.7539520263672,71910000,0.039999999999999813,3.7,40.2,209500,243853.0,73527.0,1508.0,4804.49,-1.27,99.6920269553522,-0.26,79.0,5.33,13.39,36,1,98.8109001159668,,68.63737568235642,-2.7954016082059496
2024-04-26,174.3699951171875,174.7100067138672,169.64999389648438,171.9499969482422,171.52528381347656,64665300,0.3999999999999999,3.8,40.7,213600,252395.0,73774.0,1485.0,5170.57,-1.12,99.98360993077428,-0.38,79.4,5.33,13.79,37,1,104.6990249633789,,74.91346731769445,-0.055138895522407694
2024-07-24,173.60000610351562,176.19000244140625,171.82000732421875,172.6300048828125,172.40122985839844,49585200,0.039999999999999813,4.1,40.8,236800,250233.0,73690.0,1454.0,5415.14,-1.02,100.02247514292802,-0.43,68.2,5.33,12.67,38,1,110.4508502960205,,75.02836551144148,1.4501420301729873
